Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1618960471579,20/04/2021 23:14:31,1618960470206,-5,20/04/2021 18:14:30,49397,6,questionnaire-qtq4,,12051784,607e53e98885809ed23e89a8,3644784,,complete,,607f5abf36b24307785174b1,computer,Desktop or Laptop,Linux x86_64,Chrome 84.0.4147.105,800x360,980x376,,Demographic Questionnaire,4,No,BEGIN QUESTIONNAIRE,
2,1618960517647,20/04/2021 23:15:17,1618960516326,-5,20/04/2021 18:15:16,49397,6,questionnaire-qtq4,,12051784,607e53e98885809ed23e89a8,3644784,,complete,,607f5abf36b24307785174b1,computer,Desktop or Laptop,Linux x86_64,Chrome 84.0.4147.105,360x800,980x1677,,Demographic Questionnaire,4,No,gender-demo-q,Male
3,1618960518416,20/04/2021 23:15:18,1618960516333,-5,20/04/2021 18:15:16,49397,6,questionnaire-qtq4,,12051784,607e53e98885809ed23e89a8,3644784,,complete,,607f5abf36b24307785174b1,computer,Desktop or Laptop,Linux x86_64,Chrome 84.0.4147.105,360x800,980x1677,,Demographic Questionnaire,4,No,gender-demo-q-quantised,1
4,1618960518416,20/04/2021 23:15:18,1618960516335,-5,20/04/2021 18:15:16,49397,6,questionnaire-qtq4,,12051784,607e53e98885809ed23e89a8,3644784,,complete,,607f5abf36b24307785174b1,computer,Desktop or Laptop,Linux x86_64,Chrome 84.0.4147.105,360x800,980x1677,,Demographic Questionnaire,4,No,gender-demo-q-text,
5,1618960518416,20/04/2021 23:15:18,1618960516336,-5,20/04/2021 18:15:16,49397,6,questionnaire-qtq4,,12051784,607e53e98885809ed23e89a8,3644784,,complete,,607f5abf36b24307785174b1,computer,Desktop or Laptop,Linux x86_64,Chrome 84.0.4147.105,360x800,980x1677,,Demographic Questionnaire,4,No,hand-demo-q,Right
6,1618960518416,20/04/2021 23:15:18,1618960516337,-5,20/04/2021 18:15:16,49397,6,questionnaire-qtq4,,12051784,607e53e98885809ed23e89a8,3644784,,complete,,607f5abf36b24307785174b1,computer,Desktop or Laptop,Linux x86_64,Chrome 84.0.4147.105,360x800,980x1677,,Demographic Questionnaire,4,No,hand-demo-q-quantised,2
7,1618960518416,20/04/2021 23:15:18,1618960516338,-5,20/04/2021 18:15:16,49397,6,questionnaire-qtq4,,12051784,607e53e98885809ed23e89a8,3644784,,complete,,607f5abf36b24307785174b1,computer,Desktop or Laptop,Linux x86_64,Chrome 84.0.4147.105,360x800,980x1677,,Demographic Questionnaire,4,No,glasses-demo-q,No
8,1618960518416,20/04/2021 23:15:18,1618960516339,-5,20/04/2021 18:15:16,49397,6,questionnaire-qtq4,,12051784,607e53e98885809ed23e89a8,3644784,,complete,,607f5abf36b24307785174b1,computer,Desktop or Laptop,Linux x86_64,Chrome 84.0.4147.105,360x800,980x1677,,Demographic Questionnaire,4,No,glasses-demo-q-quantised,2
9,1618960518416,20/04/2021 23:15:18,1618960516340,-5,20/04/2021 18:15:16,49397,6,questionnaire-qtq4,,12051784,607e53e98885809ed23e89a8,3644784,,complete,,607f5abf36b24307785174b1,computer,Desktop or Laptop,Linux x86_64,Chrome 84.0.4147.105,360x800,980x1677,,Demographic Questionnaire,4,No,ethnicity-demo-q,Caucasian
10,1618960518416,20/04/2021 23:15:18,1618960516341,-5,20/04/2021 18:15:16,49397,6,questionnaire-qtq4,,12051784,607e53e98885809ed23e89a8,3644784,,complete,,607f5abf36b24307785174b1,computer,Desktop or Laptop,Linux x86_64,Chrome 84.0.4147.105,360x800,980x1677,,Demographic Questionnaire,4,No,ethnicity-demo-q-quantised,3
11,1618960518416,20/04/2021 23:15:18,1618960516342,-5,20/04/2021 18:15:16,49397,6,questionnaire-qtq4,,12051784,607e53e98885809ed23e89a8,3644784,,complete,,607f5abf36b24307785174b1,computer,Desktop or Laptop,Linux x86_64,Chrome 84.0.4147.105,360x800,980x1677,,Demographic Questionnaire,4,No,ethnicity-demo-q-text,
12,1618960518416,20/04/2021 23:15:18,1618960516343,-5,20/04/2021 18:15:16,49397,6,questionnaire-qtq4,,12051784,607e53e98885809ed23e89a8,3644784,,complete,,607f5abf36b24307785174b1,computer,Desktop or Laptop,Linux x86_64,Chrome 84.0.4147.105,360x800,980x1677,,Demographic Questionnaire,4,No,education-demo-q,Graduate degree
13,1618960518416,20/04/2021 23:15:18,1618960516344,-5,20/04/2021 18:15:16,49397,6,questionnaire-qtq4,,12051784,607e53e98885809ed23e89a8,3644784,,complete,,607f5abf36b24307785174b1,computer,Desktop or Laptop,Linux x86_64,Chrome 84.0.4147.105,360x800,980x1677,,Demographic Questionnaire,4,No,education-demo-q-quantised,6
14,1618960518416,20/04/2021 23:15:18,1618960516345,-5,20/04/2021 18:15:16,49397,6,questionnaire-qtq4,,12051784,607e53e98885809ed23e89a8,3644784,,complete,,607f5abf36b24307785174b1,computer,Desktop or Laptop,Linux x86_64,Chrome 84.0.4147.105,360x800,980x1677,,Demographic Questionnaire,4,No,age-demo-q,30-35
15,1618960518416,20/04/2021 23:15:18,1618960516346,-5,20/04/2021 18:15:16,49397,6,questionnaire-qtq4,,12051784,607e53e98885809ed23e89a8,3644784,,complete,,607f5abf36b24307785174b1,computer,Desktop or Laptop,Linux x86_64,Chrome 84.0.4147.105,360x800,980x1677,,Demographic Questionnaire,4,No,age-demo-q-quantised,3
16,1618960518416,20/04/2021 23:15:18,1618960516348,-5,20/04/2021 18:15:16,49397,6,questionnaire-qtq4,,12051784,607e53e98885809ed23e89a8,3644784,,complete,,607f5abf36b24307785174b1,computer,Desktop or Laptop,Linux x86_64,Chrome 84.0.4147.105,360x800,980x1677,,Demographic Questionnaire,4,No,colorblind-demo-q,No - I never mistake one color for another
17,1618960518416,20/04/2021 23:15:18,1618960516349,-5,20/04/2021 18:15:16,49397,6,questionnaire-qtq4,,12051784,607e53e98885809ed23e89a8,3644784,,complete,,607f5abf36b24307785174b1,computer,Desktop or Laptop,Linux x86_64,Chrome 84.0.4147.105,360x800,980x1677,,Demographic Questionnaire,4,No,colorblind-demo-q-quantised,4
18,1618960518416,20/04/2021 23:15:18,1618960516350,-5,20/04/2021 18:15:16,49397,6,questionnaire-qtq4,,12051784,607e53e98885809ed23e89a8,3644784,,complete,,607f5abf36b24307785174b1,computer,Desktop or Laptop,Linux x86_64,Chrome 84.0.4147.105,360x800,980x1677,,Demographic Questionnaire,4,No,END QUESTIONNAIRE,46148
1,1619815649259,30/04/2021 20:47:29,1619815648060,-5,30/04/2021 15:47:28,49397,6,questionnaire-qtq4,,12329362,608841496e9715786abdcd13,3722918,,complete,,608c68dbd6d98ec968313ea8,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1600x900,1600x900,,Demographic Questionnaire,4,No,BEGIN QUESTIONNAIRE,
2,1619815680063,30/04/2021 20:48:00,1619815678947,-5,30/04/2021 15:47:58,49397,6,questionnaire-qtq4,,12329362,608841496e9715786abdcd13,3722918,,complete,,608c68dbd6d98ec968313ea8,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1600x900,1583x900,,Demographic Questionnaire,4,No,gender-demo-q,Male
3,1619815680242,30/04/2021 20:48:00,1619815678948,-5,30/04/2021 15:47:58,49397,6,questionnaire-qtq4,,12329362,608841496e9715786abdcd13,3722918,,complete,,608c68dbd6d98ec968313ea8,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1600x900,1583x900,,Demographic Questionnaire,4,No,gender-demo-q-quantised,1
4,1619815680242,30/04/2021 20:48:00,1619815678948,-5,30/04/2021 15:47:58,49397,6,questionnaire-qtq4,,12329362,608841496e9715786abdcd13,3722918,,complete,,608c68dbd6d98ec968313ea8,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1600x900,1583x900,,Demographic Questionnaire,4,No,gender-demo-q-text,
5,1619815680242,30/04/2021 20:48:00,1619815678948,-5,30/04/2021 15:47:58,49397,6,questionnaire-qtq4,,12329362,608841496e9715786abdcd13,3722918,,complete,,608c68dbd6d98ec968313ea8,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1600x900,1583x900,,Demographic Questionnaire,4,No,hand-demo-q,Right
6,1619815680242,30/04/2021 20:48:00,1619815678949,-5,30/04/2021 15:47:58,49397,6,questionnaire-qtq4,,12329362,608841496e9715786abdcd13,3722918,,complete,,608c68dbd6d98ec968313ea8,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1600x900,1583x900,,Demographic Questionnaire,4,No,hand-demo-q-quantised,2
7,1619815680242,30/04/2021 20:48:00,1619815678949,-5,30/04/2021 15:47:58,49397,6,questionnaire-qtq4,,12329362,608841496e9715786abdcd13,3722918,,complete,,608c68dbd6d98ec968313ea8,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1600x900,1583x900,,Demographic Questionnaire,4,No,glasses-demo-q,No
8,1619815680242,30/04/2021 20:48:00,1619815678949,-5,30/04/2021 15:47:58,49397,6,questionnaire-qtq4,,12329362,608841496e9715786abdcd13,3722918,,complete,,608c68dbd6d98ec968313ea8,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1600x900,1583x900,,Demographic Questionnaire,4,No,glasses-demo-q-quantised,2
9,1619815680242,30/04/2021 20:48:00,1619815678949,-5,30/04/2021 15:47:58,49397,6,questionnaire-qtq4,,12329362,608841496e9715786abdcd13,3722918,,complete,,608c68dbd6d98ec968313ea8,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1600x900,1583x900,,Demographic Questionnaire,4,No,ethnicity-demo-q,Caucasian
10,1619815680242,30/04/2021 20:48:00,1619815678949,-5,30/04/2021 15:47:58,49397,6,questionnaire-qtq4,,12329362,608841496e9715786abdcd13,3722918,,complete,,608c68dbd6d98ec968313ea8,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1600x900,1583x900,,Demographic Questionnaire,4,No,ethnicity-demo-q-quantised,3
11,1619815680242,30/04/2021 20:48:00,1619815678949,-5,30/04/2021 15:47:58,49397,6,questionnaire-qtq4,,12329362,608841496e9715786abdcd13,3722918,,complete,,608c68dbd6d98ec968313ea8,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1600x900,1583x900,,Demographic Questionnaire,4,No,ethnicity-demo-q-text,
12,1619815680242,30/04/2021 20:48:00,1619815678949,-5,30/04/2021 15:47:58,49397,6,questionnaire-qtq4,,12329362,608841496e9715786abdcd13,3722918,,complete,,608c68dbd6d98ec968313ea8,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1600x900,1583x900,,Demographic Questionnaire,4,No,education-demo-q,Some college
13,1619815680242,30/04/2021 20:48:00,1619815678950,-5,30/04/2021 15:47:58,49397,6,questionnaire-qtq4,,12329362,608841496e9715786abdcd13,3722918,,complete,,608c68dbd6d98ec968313ea8,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1600x900,1583x900,,Demographic Questionnaire,4,No,education-demo-q-quantised,3
14,1619815680242,30/04/2021 20:48:00,1619815678950,-5,30/04/2021 15:47:58,49397,6,questionnaire-qtq4,,12329362,608841496e9715786abdcd13,3722918,,complete,,608c68dbd6d98ec968313ea8,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1600x900,1583x900,,Demographic Questionnaire,4,No,age-demo-q,18-24
15,1619815680242,30/04/2021 20:48:00,1619815678950,-5,30/04/2021 15:47:58,49397,6,questionnaire-qtq4,,12329362,608841496e9715786abdcd13,3722918,,complete,,608c68dbd6d98ec968313ea8,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1600x900,1583x900,,Demographic Questionnaire,4,No,age-demo-q-quantised,1
16,1619815680242,30/04/2021 20:48:00,1619815678950,-5,30/04/2021 15:47:58,49397,6,questionnaire-qtq4,,12329362,608841496e9715786abdcd13,3722918,,complete,,608c68dbd6d98ec968313ea8,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1600x900,1583x900,,Demographic Questionnaire,4,No,colorblind-demo-q,No - I never mistake one color for another
17,1619815680242,30/04/2021 20:48:00,1619815678950,-5,30/04/2021 15:47:58,49397,6,questionnaire-qtq4,,12329362,608841496e9715786abdcd13,3722918,,complete,,608c68dbd6d98ec968313ea8,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1600x900,1583x900,,Demographic Questionnaire,4,No,colorblind-demo-q-quantised,4
18,1619815680242,30/04/2021 20:48:00,1619815678950,-5,30/04/2021 15:47:58,49397,6,questionnaire-qtq4,,12329362,608841496e9715786abdcd13,3722918,,complete,,608c68dbd6d98ec968313ea8,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1600x900,1583x900,,Demographic Questionnaire,4,No,END QUESTIONNAIRE,30890
1,1619887997874,01/05/2021 16:53:17,1619887999358,-4,01/05/2021 12:53:19,49397,6,questionnaire-qtq4,,12338070,605f9cfad4df69fcebaac11b,3725171,,complete,,608d835a4ba61926e0ebe58a,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,2560x1440,3200x1621,,Demographic Questionnaire,4,No,BEGIN QUESTIONNAIRE,
2,1619888017422,01/05/2021 16:53:37,1619888018956,-4,01/05/2021 12:53:38,49397,6,questionnaire-qtq4,,12338070,605f9cfad4df69fcebaac11b,3725171,,complete,,608d835a4ba61926e0ebe58a,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,2560x1440,3200x1621,,Demographic Questionnaire,4,No,gender-demo-q,Male
3,1619888017625,01/05/2021 16:53:37,1619888018957,-4,01/05/2021 12:53:38,49397,6,questionnaire-qtq4,,12338070,605f9cfad4df69fcebaac11b,3725171,,complete,,608d835a4ba61926e0ebe58a,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,2560x1440,3200x1621,,Demographic Questionnaire,4,No,gender-demo-q-quantised,1
4,1619888017625,01/05/2021 16:53:37,1619888018957,-4,01/05/2021 12:53:38,49397,6,questionnaire-qtq4,,12338070,605f9cfad4df69fcebaac11b,3725171,,complete,,608d835a4ba61926e0ebe58a,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,2560x1440,3200x1621,,Demographic Questionnaire,4,No,gender-demo-q-text,
5,1619888017625,01/05/2021 16:53:37,1619888018958,-4,01/05/2021 12:53:38,49397,6,questionnaire-qtq4,,12338070,605f9cfad4df69fcebaac11b,3725171,,complete,,608d835a4ba61926e0ebe58a,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,2560x1440,3200x1621,,Demographic Questionnaire,4,No,hand-demo-q,Right
6,1619888017625,01/05/2021 16:53:37,1619888018958,-4,01/05/2021 12:53:38,49397,6,questionnaire-qtq4,,12338070,605f9cfad4df69fcebaac11b,3725171,,complete,,608d835a4ba61926e0ebe58a,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,2560x1440,3200x1621,,Demographic Questionnaire,4,No,hand-demo-q-quantised,2
7,1619888017625,01/05/2021 16:53:37,1619888018958,-4,01/05/2021 12:53:38,49397,6,questionnaire-qtq4,,12338070,605f9cfad4df69fcebaac11b,3725171,,complete,,608d835a4ba61926e0ebe58a,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,2560x1440,3200x1621,,Demographic Questionnaire,4,No,glasses-demo-q,No
8,1619888017625,01/05/2021 16:53:37,1619888018958,-4,01/05/2021 12:53:38,49397,6,questionnaire-qtq4,,12338070,605f9cfad4df69fcebaac11b,3725171,,complete,,608d835a4ba61926e0ebe58a,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,2560x1440,3200x1621,,Demographic Questionnaire,4,No,glasses-demo-q-quantised,2
9,1619888017625,01/05/2021 16:53:37,1619888018958,-4,01/05/2021 12:53:38,49397,6,questionnaire-qtq4,,12338070,605f9cfad4df69fcebaac11b,3725171,,complete,,608d835a4ba61926e0ebe58a,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,2560x1440,3200x1621,,Demographic Questionnaire,4,No,ethnicity-demo-q,Caucasian
10,1619888017625,01/05/2021 16:53:37,1619888018958,-4,01/05/2021 12:53:38,49397,6,questionnaire-qtq4,,12338070,605f9cfad4df69fcebaac11b,3725171,,complete,,608d835a4ba61926e0ebe58a,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,2560x1440,3200x1621,,Demographic Questionnaire,4,No,ethnicity-demo-q-quantised,3
11,1619888017625,01/05/2021 16:53:37,1619888018958,-4,01/05/2021 12:53:38,49397,6,questionnaire-qtq4,,12338070,605f9cfad4df69fcebaac11b,3725171,,complete,,608d835a4ba61926e0ebe58a,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,2560x1440,3200x1621,,Demographic Questionnaire,4,No,ethnicity-demo-q-text,
12,1619888017625,01/05/2021 16:53:37,1619888018958,-4,01/05/2021 12:53:38,49397,6,questionnaire-qtq4,,12338070,605f9cfad4df69fcebaac11b,3725171,,complete,,608d835a4ba61926e0ebe58a,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,2560x1440,3200x1621,,Demographic Questionnaire,4,No,education-demo-q,Graduate degree
13,1619888017625,01/05/2021 16:53:37,1619888018959,-4,01/05/2021 12:53:38,49397,6,questionnaire-qtq4,,12338070,605f9cfad4df69fcebaac11b,3725171,,complete,,608d835a4ba61926e0ebe58a,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,2560x1440,3200x1621,,Demographic Questionnaire,4,No,education-demo-q-quantised,6
14,1619888017625,01/05/2021 16:53:37,1619888018959,-4,01/05/2021 12:53:38,49397,6,questionnaire-qtq4,,12338070,605f9cfad4df69fcebaac11b,3725171,,complete,,608d835a4ba61926e0ebe58a,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,2560x1440,3200x1621,,Demographic Questionnaire,4,No,age-demo-q,24-29
15,1619888017625,01/05/2021 16:53:37,1619888018959,-4,01/05/2021 12:53:38,49397,6,questionnaire-qtq4,,12338070,605f9cfad4df69fcebaac11b,3725171,,complete,,608d835a4ba61926e0ebe58a,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,2560x1440,3200x1621,,Demographic Questionnaire,4,No,age-demo-q-quantised,2
16,1619888017625,01/05/2021 16:53:37,1619888018959,-4,01/05/2021 12:53:38,49397,6,questionnaire-qtq4,,12338070,605f9cfad4df69fcebaac11b,3725171,,complete,,608d835a4ba61926e0ebe58a,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,2560x1440,3200x1621,,Demographic Questionnaire,4,No,colorblind-demo-q,Yes - I sometimes mistake one color for another
17,1619888017625,01/05/2021 16:53:37,1619888018959,-4,01/05/2021 12:53:38,49397,6,questionnaire-qtq4,,12338070,605f9cfad4df69fcebaac11b,3725171,,complete,,608d835a4ba61926e0ebe58a,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,2560x1440,3200x1621,,Demographic Questionnaire,4,No,colorblind-demo-q-quantised,2
18,1619888017625,01/05/2021 16:53:37,1619888018959,-4,01/05/2021 12:53:38,49397,6,questionnaire-qtq4,,12338070,605f9cfad4df69fcebaac11b,3725171,,complete,,608d835a4ba61926e0ebe58a,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,2560x1440,3200x1621,,Demographic Questionnaire,4,No,END QUESTIONNAIRE,19601
1,1619888469603,01/05/2021 17:01:09,1619888471808,-4,01/05/2021 13:01:11,49397,6,questionnaire-qtq4,,12338165,6001d2a36c91490694873136,3725212,,complete,,608d85da0cd1d2ac878d6a13,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1920x969,,Demographic Questionnaire,4,No,BEGIN QUESTIONNAIRE,
2,1619888485420,01/05/2021 17:01:25,1619888487664,-4,01/05/2021 13:01:27,49397,6,questionnaire-qtq4,,12338165,6001d2a36c91490694873136,3725212,,complete,,608d85da0cd1d2ac878d6a13,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x969,,Demographic Questionnaire,4,No,gender-demo-q,Male
3,1619888485600,01/05/2021 17:01:25,1619888487664,-4,01/05/2021 13:01:27,49397,6,questionnaire-qtq4,,12338165,6001d2a36c91490694873136,3725212,,complete,,608d85da0cd1d2ac878d6a13,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x969,,Demographic Questionnaire,4,No,gender-demo-q-quantised,1
4,1619888485600,01/05/2021 17:01:25,1619888487664,-4,01/05/2021 13:01:27,49397,6,questionnaire-qtq4,,12338165,6001d2a36c91490694873136,3725212,,complete,,608d85da0cd1d2ac878d6a13,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x969,,Demographic Questionnaire,4,No,gender-demo-q-text,
5,1619888485600,01/05/2021 17:01:25,1619888487665,-4,01/05/2021 13:01:27,49397,6,questionnaire-qtq4,,12338165,6001d2a36c91490694873136,3725212,,complete,,608d85da0cd1d2ac878d6a13,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x969,,Demographic Questionnaire,4,No,hand-demo-q,Right
6,1619888485600,01/05/2021 17:01:25,1619888487665,-4,01/05/2021 13:01:27,49397,6,questionnaire-qtq4,,12338165,6001d2a36c91490694873136,3725212,,complete,,608d85da0cd1d2ac878d6a13,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x969,,Demographic Questionnaire,4,No,hand-demo-q-quantised,2
7,1619888485600,01/05/2021 17:01:25,1619888487665,-4,01/05/2021 13:01:27,49397,6,questionnaire-qtq4,,12338165,6001d2a36c91490694873136,3725212,,complete,,608d85da0cd1d2ac878d6a13,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x969,,Demographic Questionnaire,4,No,glasses-demo-q,No
8,1619888485600,01/05/2021 17:01:25,1619888487665,-4,01/05/2021 13:01:27,49397,6,questionnaire-qtq4,,12338165,6001d2a36c91490694873136,3725212,,complete,,608d85da0cd1d2ac878d6a13,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x969,,Demographic Questionnaire,4,No,glasses-demo-q-quantised,2
9,1619888485600,01/05/2021 17:01:25,1619888487665,-4,01/05/2021 13:01:27,49397,6,questionnaire-qtq4,,12338165,6001d2a36c91490694873136,3725212,,complete,,608d85da0cd1d2ac878d6a13,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x969,,Demographic Questionnaire,4,No,ethnicity-demo-q,Caucasian
10,1619888485600,01/05/2021 17:01:25,1619888487665,-4,01/05/2021 13:01:27,49397,6,questionnaire-qtq4,,12338165,6001d2a36c91490694873136,3725212,,complete,,608d85da0cd1d2ac878d6a13,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x969,,Demographic Questionnaire,4,No,ethnicity-demo-q-quantised,3
11,1619888485600,01/05/2021 17:01:25,1619888487665,-4,01/05/2021 13:01:27,49397,6,questionnaire-qtq4,,12338165,6001d2a36c91490694873136,3725212,,complete,,608d85da0cd1d2ac878d6a13,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x969,,Demographic Questionnaire,4,No,ethnicity-demo-q-text,
12,1619888485600,01/05/2021 17:01:25,1619888487665,-4,01/05/2021 13:01:27,49397,6,questionnaire-qtq4,,12338165,6001d2a36c91490694873136,3725212,,complete,,608d85da0cd1d2ac878d6a13,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x969,,Demographic Questionnaire,4,No,education-demo-q,Some college
13,1619888485600,01/05/2021 17:01:25,1619888487665,-4,01/05/2021 13:01:27,49397,6,questionnaire-qtq4,,12338165,6001d2a36c91490694873136,3725212,,complete,,608d85da0cd1d2ac878d6a13,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x969,,Demographic Questionnaire,4,No,education-demo-q-quantised,3
14,1619888485600,01/05/2021 17:01:25,1619888487665,-4,01/05/2021 13:01:27,49397,6,questionnaire-qtq4,,12338165,6001d2a36c91490694873136,3725212,,complete,,608d85da0cd1d2ac878d6a13,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x969,,Demographic Questionnaire,4,No,age-demo-q,18-24
15,1619888485600,01/05/2021 17:01:25,1619888487665,-4,01/05/2021 13:01:27,49397,6,questionnaire-qtq4,,12338165,6001d2a36c91490694873136,3725212,,complete,,608d85da0cd1d2ac878d6a13,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x969,,Demographic Questionnaire,4,No,age-demo-q-quantised,1
16,1619888485600,01/05/2021 17:01:25,1619888487665,-4,01/05/2021 13:01:27,49397,6,questionnaire-qtq4,,12338165,6001d2a36c91490694873136,3725212,,complete,,608d85da0cd1d2ac878d6a13,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x969,,Demographic Questionnaire,4,No,colorblind-demo-q,No - I rarely mistake one color for another
17,1619888485600,01/05/2021 17:01:25,1619888487666,-4,01/05/2021 13:01:27,49397,6,questionnaire-qtq4,,12338165,6001d2a36c91490694873136,3725212,,complete,,608d85da0cd1d2ac878d6a13,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x969,,Demographic Questionnaire,4,No,colorblind-demo-q-quantised,3
18,1619888485600,01/05/2021 17:01:25,1619888487666,-4,01/05/2021 13:01:27,49397,6,questionnaire-qtq4,,12338165,6001d2a36c91490694873136,3725212,,complete,,608d85da0cd1d2ac878d6a13,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x969,,Demographic Questionnaire,4,No,END QUESTIONNAIRE,15858
1,1619888508708,01/05/2021 17:01:48,1619888507807,-6,01/05/2021 11:01:47,49397,6,questionnaire-qtq4,,12338178,5f700002b73efc5cb6f5b889,3725216,,complete,,608d86201a2ad430aa99c638,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1920x937,,Demographic Questionnaire,4,No,BEGIN QUESTIONNAIRE,
2,1619888534264,01/05/2021 17:02:14,1619888533395,-6,01/05/2021 11:02:13,49397,6,questionnaire-qtq4,,12338178,5f700002b73efc5cb6f5b889,3725216,,complete,,608d86201a2ad430aa99c638,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x937,,Demographic Questionnaire,4,No,gender-demo-q,Male
3,1619888534421,01/05/2021 17:02:14,1619888533397,-6,01/05/2021 11:02:13,49397,6,questionnaire-qtq4,,12338178,5f700002b73efc5cb6f5b889,3725216,,complete,,608d86201a2ad430aa99c638,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x937,,Demographic Questionnaire,4,No,gender-demo-q-quantised,1
4,1619888534421,01/05/2021 17:02:14,1619888533398,-6,01/05/2021 11:02:13,49397,6,questionnaire-qtq4,,12338178,5f700002b73efc5cb6f5b889,3725216,,complete,,608d86201a2ad430aa99c638,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x937,,Demographic Questionnaire,4,No,gender-demo-q-text,
