Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1618869778493,19/04/2021 22:02:58,1618869778010,-7,19/04/2021 15:02:58,49397,5,questionnaire-qtq4,,12025469,5ebc5efb55e67d09d5aa98ed,3637579,,complete,,607dfae57bf697364d501ca9,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,3440x1440,3440x1329,,Demographic Questionnaire,4,No,BEGIN QUESTIONNAIRE,
2,1618869798038,19/04/2021 22:03:18,1618869797594,-7,19/04/2021 15:03:17,49397,5,questionnaire-qtq4,,12025469,5ebc5efb55e67d09d5aa98ed,3637579,,complete,,607dfae57bf697364d501ca9,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,3440x1440,3440x1329,,Demographic Questionnaire,4,No,gender-demo-q,Male
3,1618869798372,19/04/2021 22:03:18,1618869797595,-7,19/04/2021 15:03:17,49397,5,questionnaire-qtq4,,12025469,5ebc5efb55e67d09d5aa98ed,3637579,,complete,,607dfae57bf697364d501ca9,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,3440x1440,3440x1329,,Demographic Questionnaire,4,No,gender-demo-q-quantised,1
4,1618869798372,19/04/2021 22:03:18,1618869797595,-7,19/04/2021 15:03:17,49397,5,questionnaire-qtq4,,12025469,5ebc5efb55e67d09d5aa98ed,3637579,,complete,,607dfae57bf697364d501ca9,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,3440x1440,3440x1329,,Demographic Questionnaire,4,No,gender-demo-q-text,
5,1618869798372,19/04/2021 22:03:18,1618869797595,-7,19/04/2021 15:03:17,49397,5,questionnaire-qtq4,,12025469,5ebc5efb55e67d09d5aa98ed,3637579,,complete,,607dfae57bf697364d501ca9,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,3440x1440,3440x1329,,Demographic Questionnaire,4,No,hand-demo-q,Right
6,1618869798372,19/04/2021 22:03:18,1618869797595,-7,19/04/2021 15:03:17,49397,5,questionnaire-qtq4,,12025469,5ebc5efb55e67d09d5aa98ed,3637579,,complete,,607dfae57bf697364d501ca9,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,3440x1440,3440x1329,,Demographic Questionnaire,4,No,hand-demo-q-quantised,2
7,1618869798372,19/04/2021 22:03:18,1618869797595,-7,19/04/2021 15:03:17,49397,5,questionnaire-qtq4,,12025469,5ebc5efb55e67d09d5aa98ed,3637579,,complete,,607dfae57bf697364d501ca9,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,3440x1440,3440x1329,,Demographic Questionnaire,4,No,glasses-demo-q,No
8,1618869798372,19/04/2021 22:03:18,1618869797595,-7,19/04/2021 15:03:17,49397,5,questionnaire-qtq4,,12025469,5ebc5efb55e67d09d5aa98ed,3637579,,complete,,607dfae57bf697364d501ca9,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,3440x1440,3440x1329,,Demographic Questionnaire,4,No,glasses-demo-q-quantised,2
9,1618869798372,19/04/2021 22:03:18,1618869797595,-7,19/04/2021 15:03:17,49397,5,questionnaire-qtq4,,12025469,5ebc5efb55e67d09d5aa98ed,3637579,,complete,,607dfae57bf697364d501ca9,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,3440x1440,3440x1329,,Demographic Questionnaire,4,No,ethnicity-demo-q,Latino or Hispanic
10,1618869798372,19/04/2021 22:03:18,1618869797596,-7,19/04/2021 15:03:17,49397,5,questionnaire-qtq4,,12025469,5ebc5efb55e67d09d5aa98ed,3637579,,complete,,607dfae57bf697364d501ca9,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,3440x1440,3440x1329,,Demographic Questionnaire,4,No,ethnicity-demo-q-quantised,4
